,first_name,last_name,GP,G,A,PTS,PIM
566,Vladislav,Kamenev,38,1,7,8,8
567,Logan,Brown,23,1,7,8,4
568,Rasmus,Sandin,28,1,7,8,10
569,Dan,Hamhuis,60,0,8,8,35
570,Nick,Jensen,68,0,8,8,13
571,Anthony,Bitetto,51,0,8,8,32
572,Mark,Jankowski,56,5,2,7,14
573,Mathieu,Joseph,37,4,3,7,16
574,Joakim,Nordstrom,48,4,3,7,17
575,Gabriel,Vilardi,10,3,4,7,4
576,Joel,Kellman,31,3,4,7,4
577,Cal,Clutterbuck,37,3,4,7,22
578,Jansen,Harkins,29,2,5,7,5
579,Oliver,Kylington,48,2,5,7,16
580,Morgan,Frost,20,2,5,7,4
581,Taro,Hirose,26,2,5,7,6
582,Carl,Gunnarsson,36,2,5,7,16
583,Michael,Stone,33,2,5,7,16
584,Mirco,Mueller,50,2,5,7,23
585,Jon,Merrill,49,2,5,7,32
586,Jan,Rutta,33,1,6,7,14
587,Antti,Suomela,20,1,6,7,4
588,Noah,Dobson,34,1,6,7,8
589,Juuso,Riikola,36,1,6,7,6
590,Zach,Bogosian,27,1,6,7,22
591,Jordie,Benn,44,1,6,7,17
592,Trevor,Daley,43,0,7,7,20
593,Brett,Kulak,56,0,7,7,12
594,Tim,Schaller,53,5,1,6,14
595,Zack,MacEwen,17,5,1,6,20
596,Joey,Anderson,18,4,2,6,2
597,Tom,Kuhnhackl,28,3,3,6,2
598,Nick,Shore,63,3,3,6,20
599,Justin,Dowling,29,3,3,6,8
600,Mitchell,Stephens,38,3,3,6,10
601,Filip,Chlapik,31,3,3,6,10
602,Par,Lindholm,40,3,3,6,4
603,Robert,Bortuzzo,42,2,4,6,21
604,Gabriel,Bourque,52,2,4,6,7
605,Brett,Ritchie,27,2,4,6,21
606,Chad,Ruhwedel,41,2,4,6,12
607,Scott,Sabourin,35,2,4,6,33
608,Matthew,Highmore,36,2,4,6,6
609,Yakov,Trenin,21,2,4,6,9
610,Deryk,Engelland,49,1,5,6,37
611,David,Backes,22,1,5,6,22
612,Calvin,de Haan,29,1,5,6,10
613,Adam,Larsson,49,1,5,6,35
614,Connor,Carrick,29,1,5,6,17
615,Karson,Kuhlman,25,1,5,6,13
616,Oscar,Fantenberg,36,1,5,6,6
617,Noah,Gregor,28,3,2,5,8
618,Zac,Rinaldo,19,3,2,5,34
619,Logan,Shaw,35,3,2,5,0
620,Jakob,Lilja,37,2,3,5,2
621,Bryan,Little,7,2,3,5,2
622,Stephen,Johns,17,2,3,5,10
623,Adam,Erne,56,2,3,5,28
624,Joseph,Blandisi,21,2,3,5,10
625,Matt,Luff,18,1,4,5,2
626,Ville,Heinola,8,1,4,5,4
627,Niklas,Hjalmarsson,27,1,4,5,14
628,Dale,Weise,23,1,4,5,16
629,Jarred,Tinordi,28,1,4,5,34
630,Micheal,Ferland,14,1,4,5,7
631,Tim,Heed,38,1,4,5,2
632,Joakim,Ryan,35,1,4,5,10
633,Dean,Kukan,33,1,4,5,12
