,first_name,last_name,team,position
599,Justin,Dowling,DAL, C 
600,Mitchell,Stephens,TB, C 
601,Filip,Chlapik,OTT, C 
602,Par,Lindholm,BOS, C 
603,Robert,Bortuzzo,STL, D 
604,Gabriel,Bourque,WPG, LW
605,Brett,Ritchie,BOS, RW
606,Chad,Ruhwedel,PIT, D 
607,Scott,Sabourin,OTT, RW
608,Matthew,Highmore,CHI, C 
609,Yakov,Trenin,NSH, C 
610,Deryk,Engelland,VGS, D 
611,David,Backes,BOS/ANA, RW
612,Calvin,de Haan,CHI, D 
613,Adam,Larsson,EDM, D 
614,Connor,Carrick,NJ, D 
615,Karson,Kuhlman,BOS, RW
616,Oscar,Fantenberg,VAN, D 
617,Noah,Gregor,SJ, C 
618,Zac,Rinaldo,CGY, C 
619,Logan,Shaw,WPG, RW
620,Jakob,Lilja,CBJ, LW
621,Bryan,Little,WPG, C 
622,Stephen,Johns,DAL, D 
623,Adam,Erne,DET, LW
624,Joseph,Blandisi,PIT, C 
625,Matt,Luff,LA, RW
626,Ville,Heinola,WPG, D 
627,Niklas,Hjalmarsson,ARI, D 
628,Dale,Weise,MTL, RW
629,Jarred,Tinordi,NSH, D 
630,Micheal,Ferland,VAN, LW
631,Tim,Heed,SJ, D 
632,Joakim,Ryan,LA, D 
633,Dean,Kukan,CBJ, D 
634,Sami,Niku,WPG, D 
635,Riley,Stillman,FLA, D 
636,Libor,Hajek,NYR, D 
637,Patrick,Russell,EDM, RW
638,Jesper,Boqvist,NJ, C 
639,Brent,Seabrook,CHI, D 
640,Markus,Granlund,EDM, C 
641,John,Hayden,NJ, C 
642,Ross,Johnston,NYI, LW
643,Morgan,Geekie,CAR, C 
644,Mikkel,Boedker,OTT, LW
645,Christoffer,Ehn,DET, C 
646,Aleksi,Saarela,FLA, C 
647,Braydon,Coburn,TB, D 
648,Cameron,Gaunce,TB, D 
649,Martin,Marincin,TOR, D 
650,Korbinian,Holzer,ANA/NSH, D 
651,Valentin,Zykov,VGS, RW
652,Dakota,Mermis,NJ, D 
653,Josh,Anderson,CBJ, RW
654,Phil,Di Giuseppe,NYR, LW
655,Brendan,Perlini,CHI/DET, LW
656,Josh,Mahura,ANA, D 
657,Barrett,Hayton,ARI, C 
658,Roman,Polak,DAL, D 
659,Colin,Wilson,COL, C 
660,Danny,DeKeyser,DET, D 
661,Dryden,Hunt,FLA, LW
662,Erik,Brannstrom,OTT, D 
663,Carl,Grundstrom,LA, RW
664,Ilya,Lyubushkin,ARI, D 
665,Isac,Lundestrom,ANA, C 
666,Alex,True,SJ, C 
667,Kieffer,Bellows,NYI, LW
668,Givani,Smith,DET, RW
669,Martin,Kaut,COL, RW
670,Jake,Evans,MTL, C 
671,John,Moore,BOS, D 
672,Stefan,Matteau,CBJ, C 
673,Austin,Czarnik,CGY, C 
674,Dennis,Gilbert,CHI, D 
675,Mikhail,Vorobyev,PHI, C 
676,Rudolfs,Balcers,OTT, LW
677,Rasmus,Asplund,BUF, C 
678,Andrew,Peeke,CBJ, D 
679,Vladimir,Sobotka,BUF, C 
680,Yannick,Weber,NSH, D 
681,Luke,Schenn,TB, D 
682,Andrew,Agozzino,PIT/ANA, LW
683,Luke,Witkowski,TB, D 
684,Christian,Djoos,WSH/ANA, D 
685,Dylan,Sikura,CHI, C 
686,Christian,Jaros,OTT, D 
687,Julien,Gauthier,CAR/NYR, RW
688,Calle,Rosen,COL/TOR, D 
689,Adam,Brooks,TOR, C 
690,Justin,Abdelkader,DET, LW
691,Greg,Pateryn,MIN, D 
692,Alex,Biega,DET, D 
693,Matt,Irwin,ANA/NSH, D 
694,Matt,Tennyson,NJ, D 
695,Nic,Petan,TOR, C 
696,Andreas,Englund,OTT, D 
697,Tyler,Graovac,VAN, C 
698,Connor,Clifton,BOS, D 
699,Logan,O'Connor,COL, RW
700,Gerald,Mayhew,MIN, RW
701,Cody,Goloubef,DET/OTT, D 
702,Sam,Carrick,ANA, C 
703,Nick,Bjugstad,PIT, C 
704,Fredrik,Claesson,NJ, D 
705,Scott,Wilson,BUF, LW
706,Christian,Folin,MTL, D 
707,Charles,Hudon,MTL, LW
708,Nathan,Walker,STL, LW
709,Nick,Merkley,NJ, RW
710,Daniel,Sprong,ANA, RW
711,Jeremy,Lauzon,BOS, D 
